observation_date,IITTRHB_20160517,IITTRHB_20200416,IITTRLB_20160517,IITTRLB_20200416
2000-01-01,39.600,39.600,15.000,15.000
2001-01-01,39.100,39.100,10.000,10.000
2002-01-01,38.600,38.600,10.000,10.000
2003-01-01,35.000,35.000,10.000,10.000
2004-01-01,35.000,35.000,10.000,10.000
2005-01-01,35.000,35.000,10.000,10.000
2006-01-01,35.000,35.000,10.000,10.000
2007-01-01,35.000,35.000,10.000,10.000
2008-01-01,35.000,35.000,10.000,10.000
2009-01-01,35.000,35.000,10.000,10.000
2010-01-01,35.000,35.000,10.000,10.000
2011-01-01,35.000,35.000,10.000,10.000
2012-01-01,35.000,35.000,10.000,10.000
2013-01-01,39.600,39.600,10.000,10.000
2014-01-01,39.600,39.600,10.000,10.000
2015-01-01,39.600,39.600,10.000,10.000
2016-01-01,,39.600,,10.000
2017-01-01,,39.600,,10.000
2018-01-01,,37.000,,10.000
